arm,population,outcome,n_replicates,mean,sd,ci_low,ci_high
label_control,label_B,final_proportion,10,0.49654336745379635,0.02922484016207117,0.47913878063131954,0.5133173401415361
mono_TP53mut,IDHmut_TP53mut,final_proportion,10,1.0,0.0,1.0,1.0
mono_TP53wt,IDHmut_TP53wt,final_proportion,10,1.0,0.0,1.0,1.0
co_mixed,IDHmut_TP53mut,final_radius_of_gyration,10,137.32039660016167,4.230465411408837,134.8466430052161,139.7392457097407
co_mixed,IDHmut_TP53wt,final_radius_of_gyration,10,136.43880179847838,5.424917133021111,133.05825142485722,139.44811611129052
co_separated,IDHmut_TP53mut,final_radius_of_gyration,10,105.89157473830201,4.909380885583473,102.92399154172197,108.68648585493725
co_separated,IDHmut_TP53wt,final_radius_of_gyration,10,91.26682475562696,3.9419416114205124,88.91822849810933,93.57795669824166
co_swapped,IDHmut_TP53mut,final_radius_of_gyration,10,107.83619857688704,4.121102638977572,105.30141800156103,110.1268091273192
co_swapped,IDHmut_TP53wt,final_radius_of_gyration,10,93.18975689355953,4.266618656024513,90.52471626755633,95.55480798552313
label_control,label_A,final_radius_of_gyration,10,92.81198214615164,5.343372108945467,89.80593837155487,96.07089813747213
label_control,label_B,final_radius_of_gyration,10,92.43223193108301,3.7994221838184923,90.23627821419198,94.70010119037407
mono_TP53mut,IDHmut_TP53mut,final_radius_of_gyration,10,105.80808041146152,3.6403044281593866,103.6793238907966,107.88213302833371
mono_TP53wt,IDHmut_TP53wt,final_radius_of_gyration,10,90.10830854624093,4.91081924833478,87.2331121630732,92.96023129403929
