arm,seed,population,apoptosis_factor,n_start,n_end,n_dead_end,fold_change,log2_fold_change,log_growth_rate_per_min,observed_doubling_time_days,auc_log_count,final_proportion,final_radius_of_gyration,min_oxygen_mmHg,n_timepoints_observed
label_control,20260916,label_B,10.0,100.0,228.0,2,2.28,1.189033824390017,0.00010133386615774297,4.750161293292409,5.042422166587575,0.5181818181818182,93.77426882483228,15.60406193708722,23
mono_TP53mut,20260907,IDHmut_TP53mut,10.0,100.0,337.0,0,3.37,1.752748591407134,0.00014694681278609427,3.2756900241373255,5.228574750477576,1.0,108.86792035092219,14.825207631542325,23
mono_TP53mut,20260908,IDHmut_TP53mut,10.0,100.0,305.0,0,3.05,1.6088092426755238,0.00014667519821645573,3.281755979029456,5.154526132097766,1.0,105.07625529831107,15.405264556941148,23
mono_TP53mut,20260909,IDHmut_TP53mut,10.0,100.0,282.0,1,2.82,1.4956951626240689,0.00012832872539470002,3.7509311125914455,5.131148712813195,1.0,101.47107182930279,15.733342286517162,23
mono_TP53mut,20260910,IDHmut_TP53mut,10.0,100.0,323.0,0,3.23,1.6915341649192002,0.00014536818999858264,3.311262310735777,5.193216097820519,1.0,107.57263867240938,14.50537926296972,23
mono_TP53mut,20260911,IDHmut_TP53mut,10.0,100.0,285.0,2,2.85,1.5109619192773793,0.00012968399097389857,3.711731919316593,5.161962826376093,1.0,101.64867138901342,15.385554633265201,23
mono_TP53mut,20260912,IDHmut_TP53mut,10.0,100.0,331.0,1,3.31,1.726831217032493,0.00015791066165515844,3.0482565501077423,5.18215994955431,1.0,108.6586522824125,14.453135257870644,23
mono_TP53mut,20260913,IDHmut_TP53mut,10.0,100.0,338.0,2,3.38,1.7570232465074596,0.00015288333186482615,3.1484937098818477,5.23593193903544,1.0,109.95002462471594,14.330026065512069,23
mono_TP53mut,20260914,IDHmut_TP53mut,10.0,100.0,304.0,1,3.04,1.6040713236688608,0.00013557242008300574,3.5505171953666603,5.172403371079289,1.0,104.51458374054555,15.283665267861371,23
mono_TP53mut,20260915,IDHmut_TP53mut,10.0,100.0,273.0,0,2.73,1.4489009511451278,0.00012867784841768843,3.7407542528976276,5.095285709065064,1.0,100.55881765435986,15.737453075174425,23
mono_TP53mut,20260916,IDHmut_TP53mut,10.0,100.0,334.0,1,3.34,1.7398481026993275,0.00014829567744014345,3.2458950728113587,5.237746466856714,1.0,109.7621682726225,14.360387214595098,23
mono_TP53wt,20260907,IDHmut_TP53wt,10.0,100.0,240.0,9,2.4,1.2630344058337937,0.00011528058615336418,4.175483702709618,5.014519436392262,1.0,95.84347223087242,16.92788600449103,23
mono_TP53wt,20260908,IDHmut_TP53wt,10.0,100.0,170.0,7,1.7,0.765534746362977,6.512587936084052e-05,7.391104940866504,4.816474336418965,1.0,82.06264741235081,19.10432210678863,23
mono_TP53wt,20260909,IDHmut_TP53wt,10.0,100.0,190.0,2,1.9,0.925999418556223,8.036605136365494e-05,5.989496815565494,4.901837378943105,1.0,85.61027654154286,18.46017532439686,23
mono_TP53wt,20260910,IDHmut_TP53wt,10.0,100.0,213.0,2,2.13,1.0908534304511135,9.72536951986513e-05,4.949449043956322,4.941552764542031,1.0,89.92123851736808,17.652935730268844,23
mono_TP53wt,20260911,IDHmut_TP53wt,10.0,100.0,175.0,6,1.75,0.8073549220576041,6.991244543332285e-05,6.885071831470423,4.89295057841834,1.0,86.01799713330027,19.02531752648829,23
mono_TP53wt,20260912,IDHmut_TP53wt,10.0,100.0,196.0,3,1.96,0.9708536543404835,8.628214964774008e-05,5.578815672620321,4.932082635940042,1.0,87.25777260520607,18.250896059246223,23
mono_TP53wt,20260913,IDHmut_TP53wt,10.0,100.0,208.0,4,2.08,1.0565835283663676,8.903364799612696e-05,5.406407797006402,5.031603268252265,1.0,91.44514615607523,17.818202248395316,23
mono_TP53wt,20260914,IDHmut_TP53wt,10.0,100.0,214.0,4,2.14,1.0976107966264224,9.393837255693278e-05,5.124127612818216,4.936405314526428,1.0,90.89840693166789,18.06491447720681,23
mono_TP53wt,20260915,IDHmut_TP53wt,10.0,100.0,232.0,4,2.32,1.2141248053528473,0.00010699788547438956,4.4987076762128915,5.023393257846889,1.0,94.97542421534406,17.267905367555905,23
mono_TP53wt,20260916,IDHmut_TP53wt,10.0,100.0,248.0,8,2.48,1.3103401206121505,0.0001147287117505673,4.195568845649521,5.064111171439135,1.0,97.05070371868155,16.455883410033007,23
