x,y,population,time_days
-287.24820473827015,27.359299984661405,IDHmut_TP53wt,3.25
-277.64315883436194,-84.54661818345546,IDHmut_TP53wt,3.25
-265.64250184251426,-47.1588634061187,IDHmut_TP53wt,3.25
-129.95525483410987,-75.88253026457984,IDHmut_TP53wt,3.25
-207.61436056196186,-66.74362222815742,IDHmut_TP53wt,3.25
-174.61411015832024,35.81635982802163,IDHmut_TP53wt,3.25
-307.18622182142866,-5.137097791726135,IDHmut_TP53wt,3.25
-234.25799345682339,-78.60078990623462,IDHmut_TP53wt,3.25
-163.47466091219607,46.85637402847011,IDHmut_TP53wt,3.25
-143.43693604022903,-18.08495219776405,IDHmut_TP53wt,3.25
-227.84192428419826,-119.2086289023007,IDHmut_TP53wt,3.25
-147.7098146012131,41.51803838031046,IDHmut_TP53wt,3.25
-135.74033501064488,-60.851392590163286,IDHmut_TP53wt,3.25
-211.39838245047036,-93.60373996852293,IDHmut_TP53wt,3.25
-151.50057981320407,-58.73507427088852,IDHmut_TP53wt,3.25
-104.11989330563493,-61.865018842970024,IDHmut_TP53wt,3.25
-120.8600932065915,48.36333439717022,IDHmut_TP53wt,3.25
-302.50368935379436,30.551199404756712,IDHmut_TP53wt,3.25
-293.88181464409047,1.344903099436887,IDHmut_TP53wt,3.25
134.67355370474692,43.03327145682582,IDHmut_TP53mut,3.25
-115.33921738386204,-12.652350643651022,IDHmut_TP53wt,3.25
-236.3613228624323,63.62772101229313,IDHmut_TP53wt,3.25
-185.8960058255045,-83.46840112501155,IDHmut_TP53wt,3.25
-236.17298928593527,-51.65839245486735,IDHmut_TP53wt,3.25
-226.83624133392783,-64.65451865579729,IDHmut_TP53wt,3.25
-245.11510850467275,-6.994647788407059,IDHmut_TP53wt,3.25
-244.76305765794058,-108.51883185645623,IDHmut_TP53wt,3.25
228.88255824358737,14.84610701918157,IDHmut_TP53mut,3.25
-189.0930423604033,-42.04000390860424,IDHmut_TP53wt,3.25
-175.54853533347014,88.8294531966715,IDHmut_TP53wt,3.25
-241.2252920848096,94.82739442619774,IDHmut_TP53wt,3.25
-215.5700413568902,26.869667983855017,IDHmut_TP53wt,3.25
-230.21673788207963,32.82953050995166,IDHmut_TP53wt,3.25
-262.1877637779924,50.919139682464035,IDHmut_TP53wt,3.25
-169.77224881399337,-25.134613224749483,IDHmut_TP53wt,3.25
-173.7811411890044,-9.220318511105164,IDHmut_TP53wt,3.25
-221.4966189128917,58.59953167830338,IDHmut_TP53wt,3.25
-240.93695897524884,-93.03600083933858,IDHmut_TP53wt,3.25
-216.47638444316812,11.136709342322465,IDHmut_TP53wt,3.25
-221.8089817996833,89.4373064945551,IDHmut_TP53wt,3.25
-131.50941564837166,67.73156759680971,IDHmut_TP53wt,3.25
-182.11482678456628,73.75348692422541,IDHmut_TP53wt,3.25
165.12788059169358,71.41842246917207,IDHmut_TP53mut,3.25
268.62528135457814,91.431771169784,IDHmut_TP53mut,3.25
260.91877020253247,-65.82744874537727,IDHmut_TP53mut,3.25
218.23680841979834,58.982676751600195,IDHmut_TP53mut,3.25
193.9653474967898,-4.43672665168846,IDHmut_TP53mut,3.25
206.84546545058978,-13.479075942395298,IDHmut_TP53mut,3.25
184.6767423982956,96.31126010521017,IDHmut_TP53mut,3.25
205.10688826241488,85.95782196969076,IDHmut_TP53mut,3.25
109.88541557446882,-6.298658260933091,IDHmut_TP53mut,3.25
250.33660516998214,-27.064881121149185,IDHmut_TP53mut,3.25
208.60187749985442,116.80535049051771,IDHmut_TP53mut,3.25
260.6616896894746,13.141978203524193,IDHmut_TP53mut,3.25
206.90968733733988,2.4034425243782063,IDHmut_TP53mut,3.25
124.13365003545337,-2.394236446256413,IDHmut_TP53mut,3.25
259.3435263070379,-14.180247871589504,IDHmut_TP53mut,3.25
206.31656511682135,-91.60386697366987,IDHmut_TP53mut,3.25
299.96439387158654,-1.212501018510633,IDHmut_TP53mut,3.25
177.4958246133875,110.55669404238044,IDHmut_TP53mut,3.25
197.1883531870856,-43.656186945128105,IDHmut_TP53mut,3.25
126.16054806531824,-75.73950710428916,IDHmut_TP53mut,3.25
139.31126751115892,0.9920527069294917,IDHmut_TP53mut,3.25
106.5959679324273,-39.94975441023802,IDHmut_TP53mut,3.25
260.62203446432216,28.944815461651196,IDHmut_TP53mut,3.25
300.83098064313276,-26.39878798874678,IDHmut_TP53mut,3.25
121.75090690283601,-33.98191773472736,IDHmut_TP53mut,3.25
196.52260252817592,-65.28564394359893,IDHmut_TP53mut,3.25
223.08961963452398,-51.49606417630661,IDHmut_TP53mut,3.25
220.07942682996736,90.0038525079299,IDHmut_TP53mut,3.25
265.957661955287,-28.42126534918885,IDHmut_TP53mut,3.25
168.04073708300137,-77.57634368852692,IDHmut_TP53mut,3.25
289.961966100541,27.71079207592696,IDHmut_TP53mut,3.25
104.1225852188333,38.904789671181256,IDHmut_TP53mut,3.25
180.54303648787433,69.58950682210774,IDHmut_TP53mut,3.25
179.0671167081647,22.571707104742703,IDHmut_TP53mut,3.25
188.08032310894254,35.69462933897645,IDHmut_TP53mut,3.25
285.6069327510999,-28.001988758023952,IDHmut_TP53mut,3.25
253.33578405924504,86.34138835814237,IDHmut_TP53mut,3.25
229.7304530647773,-39.16144150483111,IDHmut_TP53mut,3.25
227.59387041895542,-12.344484081729886,IDHmut_TP53mut,3.25
244.89593867846642,14.430001937504828,IDHmut_TP53mut,3.25
148.97250993195289,-40.244428333143375,IDHmut_TP53mut,3.25
201.63889952441588,-28.457000468186774,IDHmut_TP53mut,3.25
152.09361752629985,-25.17738786719545,IDHmut_TP53mut,3.25
90.44149279158648,-28.216356716998202,IDHmut_TP53mut,3.25
108.63216359866696,54.701902148171264,IDHmut_TP53mut,3.25
138.13012494633267,16.521319461179896,IDHmut_TP53mut,3.25
289.3200003452418,43.45366143526566,IDHmut_TP53mut,3.25
164.03773333919906,-9.409486543285187,IDHmut_TP53mut,3.25
200.2209561428634,46.28031678698389,IDHmut_TP53mut,3.25
173.76717105145602,-21.96758022639884,IDHmut_TP53mut,3.25
162.58031596121515,-94.53991280977574,IDHmut_TP53mut,3.25
233.44437127484258,-92.22083248516226,IDHmut_TP53mut,3.25
133.48664702621815,74.79713821144993,IDHmut_TP53mut,3.25
174.78914049513915,-45.24960437759025,IDHmut_TP53mut,3.25
149.08138762355114,-10.709394364832772,IDHmut_TP53mut,3.25
146.9920070435641,52.20972215003098,IDHmut_TP53mut,3.25
